구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량
runi****,2025-10-26T09:53:17.540+00:00,발송일 선택 (당일조리): 9월 17일 수요일 발송,아이가 잘먹어요~ 좋네요.,5,1
mini****,2025-09-26T03:34:17.051+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,믿고 계속 먹일 수 있었음 좋겠어요 ㅎㅎ 아기가 넘 좋아해요,5,1
suas***,2025-09-13T09:01:45.375+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,"16개월 아기 닭봉 잘뜯어먹네요 
지금 삼주째 먹이고 있는데 대체적으로 다 잘먹어요~ 
어린이집 다녀서 집에서 아침 저녁먹고
주말 3끼먹고 잘먹는편인데 일주일치 양으로 
넉넉해요 좋아요",5,1
guit*****,2025-10-22T01:21:28.564+00:00,발송일 선택 (당일조리): 9월 29일 월요일 발송,아기가 잘먹어요 무한재구매네여 ㅔ,5,1
yyy0***,2025-10-03T10:33:23.226+00:00,발송일 선택 (당일조리): 9월 29일 월요일 발송,잘먹이고있아요 감사합니다 ㅎㅎ,5,1
xozu***,2025-10-02T07:05:01.243+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,아가들이 잘 먹습니다 좋아요ㅎ,5,1
haji******,2025-09-10T03:22:43.548+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,입이 짧은 아기라 만들어줘도 버리는게 많고 사먹여 보자 싶어서 처음 사먹여 봤는데 적당히 장난치면서 잘먹네요. 여러 반찬 경험 해볼수 있어서 좋은것 같아요. 재주문했습니다^^,5,1
wjsr******,2025-10-02T10:53:42.115+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,맛있어요 잘 먹어요:),5,1
hana***,2025-09-18T06:32:57.037+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,"주문하면 다음날 바로 와서 너무 좋았습니다 
처음엔 아이가 먹을까? 하고 반신반의 했는데 너무 잘먹어줘서 신기했어요 아기 입맛에 잘맞나봐요 혹시 안먹을까봐 한주 먹을 것만 주문했는데 
또 주문하려고합니다 정기배송도 괜찮을 것 같아요",5,1
cont*****,2025-09-18T00:51:07.683+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,아기키가너무작고 너무안먹어서 구매했어요 확실히 제가해주는거보단 잘먹는거같아서 좋아요!,5,1
llvl********,2025-09-14T10:50:09.260+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,반찬을 괜찮게 먹고 있었는데 이번에 닭봉이 누린내도 너무 심하고 닭상태도 안좋아서 그냥 다 못먹고 버렸어요..애가 먹고 헛구역질을 하길래 저도 입을 대보니 못 먹겠더라구요ㅜㅜ,2,1
yuhe****,2025-08-28T23:22:01.992+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,"몇달전부터 꾸준히 2주에 한번씩 주문해서 먹고 있어요 일단 구성이 다양해요 물론 그 중에서 애기가 안먹는 반찬과 국은 있지만 전반적으로 2개 빼곤 잘 먹는것 같아요 이번에는 특히 아이가 국을 잘 먹어줘서 너무나 기분이 좋네요
간은 세지 않아요",5,1
gown*****,2025-10-01T12:01:17.703+00:00,발송일 선택 (당일조리): 9월 29일 월요일 발송,맛도좋고 양도많고 만족합니다,4,1
mung****,2025-10-03T15:47:14.375+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,짜장소스를 좋아해요~^^,4,1
9sea***,2025-09-26T10:26:47.284+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,야채의 식감이 살아있어 아이가 잘 먹는 것도 있고 안먹는 반찬도 있었지만 그래서 좋았어요. 어른이 먹어도 맛있고 반찬하나하나 개성이 있어 다양한 반찬을 경험하게 해줄수 있는게 장점입니다,5,1
glvl*****,2025-10-21T02:31:09.670+00:00,발송일 선택 (당일조리): 10월 17일 금요일 발송,깔끔하고 알맞게 양이 옵니다😍,5,1
hali*****,2025-09-26T09:54:26.349+00:00,발송일 선택 (당일조리): 9월 24일 수요일 발송,재구매에요 만족해요,5,1
sj_h*****,2025-09-07T07:48:24.647+00:00,발송일 선택 (당일조리): 8월 20일 수요일 발송,아이스팩도 넉넉하게 넣어주시고 아이가 먹기전에 한입먹어보니 저는 맛잇었는데 우리아이는 잘안먹어주네요ㅠㅠ워낙 안먹는 아이라 사봣는데 저만 맛잇게 먹엇답니다 잘먹어줫으면 계속 배송시켯을텐데 아쉽습니다ㅠㅠ,5,1
hell********,2025-09-29T14:04:26.653+00:00,발송일 선택 (당일조리): 9월 26일 금요일 발송,배송 및 상품 모두 만족합니다,5,1
kjhs******,2025-08-28T06:00:25.263+00:00,발송일 선택 (당일조리): 8월 19일 화요일 발송,제가 먹어보니까 너무 맛있는데 우리 애기는 편식이 심해서 잘 먹다가 안 먹다가 하네요 ㅜㅠ그래도 제 입맛에 애기먹이기 너무 짜지않고 감칠맛도 있고 식단표도 꼼꼼히 작성해주셔서 앞으로도 잘 애용할 거 같아요 감사합니다,5,1
eunj*******,2025-10-03T02:25:54.987+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,가성비 최고인듯 !!,5,1
ssuv***,2025-10-12T05:00:12.019+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,연휴 길때마다 시켜요 메뉴 다양해서 좋아요,5,1
love******,2025-10-21T02:15:40.952+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,"잘 먹고 있어요 
굿굿",5,1
sun_*****,2025-09-27T14:45:19.411+00:00,발송일 선택 (당일조리): 8월 29일 금요일 발송,항상 맛있고 좋아요,5,1
eh****,2025-10-05T00:54:38.834+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,"배송이 빠르고 반찬 종류가 다양해서
너무 좋아요 아이가 잘먹으면 좋겠어요",5,1
cg****,2025-10-15T10:27:13.980+00:00,발송일 선택 (당일조리): 9월 10일 수요일 발송,아기 반찬 한번 구매해서 먹었는데 잘 먹었어요.,5,1
sun_*****,2025-09-27T14:39:38.602+00:00,발송일 선택 (당일조리): 9월 26일 금요일 발송,항상 응대도 잘해주시고 18개월 아기 잘먹어요,5,1
9872****,2025-09-16T01:55:30.221+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,아이도잘먹고 김치냉장고에두니 얼리지않아도오래두고먹어요 일주일은거뜬해요,5,1
time***,2025-09-14T15:04:23.691+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,"감자채볶음이 설익어서 다시 볶았고, 톳볶음이 권장기한인 6일보다 일찍 상해서 버렸습니다. 종종 시켜먹는데 이번엔 좀 아쉽네요",4,1
jung******,2025-10-02T09:41:04.990+00:00,발송일 선택 (당일조리): 8월 1일 금요일 발송,엄마는 저염식이 맛있었지만 아이는 하나도 안먹어서 속상했습니다ㅠㅠ 아이가 좋아하는 반찬들이 안와서 그런듯합니다.,3,1
ilul******,2025-09-28T09:56:33.659+00:00,발송일 선택 (당일조리): 9월 19일 금요일 발송,아기가 너무 잘먹네요~,5,1
tnsa*****,2025-10-20T00:58:55.505+00:00,발송일 선택 (당일조리): 10월 15일 수요일 발송,"좋은
상품 감사합니다~~",5,1
eunh*****,2025-10-05T13:55:39.805+00:00,발송일 선택 (당일조리): 9월 29일 월요일 발송,제가 먹었을땐 맛있었지만 애입맛에는 아닌가봐요ㅜ 그래도 잘먹었어요,5,1
lsg2***,2025-09-18T01:06:58.838+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,언능 먹이고 싶은데 아기가 장염에 걸렸네요 ㅜㅜ 나으면 잘 먹이겠습니다 :),5,1
moon*******,2025-10-18T01:20:30.257+00:00,발송일 선택 (당일조리): 10월 14일 화요일 발송,늘 만족하는 반찬입니다^^,5,1
redc*******,2025-09-28T13:09:27.644+00:00,발송일 선택 (당일조리): 9월 2일 화요일 발송,워킹맘에겐 단비같은 존재,5,1
gmlw*****,2025-09-11T23:28:10.531+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,"아기가 잘먹어요! 종류도 많아서 좋아요
얼집다니느라 하루1-2끼 챙겨줘서 냉동보관해서 먹입니다",5,1
yyy0***,2025-09-17T01:45:57.795+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,아이가 잘먹고있어요 감사합니다 강추에요 ㅎ,5,1
zyth****,2025-09-12T08:30:57.715+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,"항상 반찬 뭐할지
모를때면 애용해요 아이도 잘먹고 저도 좋고",5,1
cjm3***,2025-09-25T12:09:12.805+00:00,발송일 선택 (당일조리): 9월 24일 수요일 발송,배송도 다음 날 바로오고 양도 넉넉하고 맛있어요 아기가 밥한그릇 뚝딱했습니당:) 재주문하려구요,5,1
rovi*******,2025-08-27T11:07:53.123+00:00,발송일 선택 (당일조리): 8월 20일 수요일 발송,업체 여러곳에서 시켜봤지만 여기가 가장 만족스러웠어요! 아낌없는 재료와 정성이 느껴져서 아이에게 매일 안심하고 먹이고 있어요. 유아식할동안 쭉 주문할거같아요 감사합니다:),5,1
thdu*****,2025-09-03T11:34:50.496+00:00,발송일 선택 (당일조리): 9월 2일 화요일 발송,"배송 꼼꼼히 해주셔서 시원하게 잘 왔어요
반찬도 대체로 잘 먹어주고 간도 적당해요
이번에 특히 국을 엄청 잘먹어요!ㅋㅋㅋ 
우리딸에게서 처음보는 맛있어하는 표정을 보았네요^^",5,1
love*******,2025-08-01T17:21:04.931+00:00,발송일 선택 (당일조리): 7월 30일 수요일 발송,"첫째는 23개월 둘째는 6개월.. 직접 만드는거 보다 비쌀 수는 있으나 메뉴 고민 안해도 되고 시간 절약할 수 있어서 진심 시판이 최고👍🏻 너를위한 반찬+국은 7가지 메뉴로 대략 10일정도 먹는거 같아요! 4-5번째 재주문인거 같은데 아직까지 메뉴 겹친적이 없어서 늘 새롭습니다 ㅎㅎ 워낙 잘 안먹고 씹는걸 안좋아하는 아이라.. 다 잘먹진 않아도 다양하게 맛보여줄 수 있어요! 입자감이 큰거는 가위로 더 잘라주고 잘 안먹는 반찬은 간을 추가하거나 치즈 또는 김, 참기름 더해서 밥과 비벼줘요~",5,1
luck********,2025-10-14T02:05:59.314+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,아이 밥 걱정이 사라집니다 좋아요~~,5,1
kh****,2025-10-13T10:57:02.008+00:00,발송일 선택 (당일조리): 8월 5일 화요일 발송,우리 아가 냠냠 반찬 최고입니다!,5,1
tnql*****,2025-09-19T13:19:17.550+00:00,발송일 선택 (당일조리): 9월 17일 수요일 발송,밥볼 너무좋아해요 감사합니다,5,1
se****,2025-08-10T04:22:24.239+00:00,발송일 선택 (당일조리): 8월 8일 금요일 발송,"처음 주문해보았는데 아이스팩 넉넉히해서 신선하게 
받았구요ㅎㅎ 양도 넉넉하고 맛도 세지않아 좋더라구요!
아기두 거부감없이 맛있게 잘 먹어서 다행이네요
어른이 먹어도 맛있어요ㅎㅎ 한가지 아쉬웠던건 고기양이 적은 느낌이었어요 야채비율이 더 높아서고기양이 좀 더 있었으면 좋겠어요~ 아기가 먹는거라 믿고 주문합니다 깨끗하고 신선한 음식 부탁드려용",5,1
cg****,2025-09-12T12:57:17.464+00:00,발송일 선택 (당일조리): 9월 10일 수요일 발송,"이것저것 많은 반찬들이 와서 아기가 너무 좋아해요
맛있는 반찬 앞으로도 기대할께요",5,1
kkak********,2025-10-19T16:28:28.407+00:00,발송일 선택 (당일조리): 10월 14일 화요일 발송,아기가 잘먹오요~~,5,2
kkak********,2025-10-19T16:28:15.267+00:00,발송일 선택 (당일조리): 10월 17일 금요일 발송,아기가 잘먹오요~~,5,1
gyfl********,2025-09-02T09:20:17.456+00:00,발송일 선택 (당일조리): 8월 8일 금요일 발송,"배송이 빠르고 내용물도 녹지 않게 잘 보내주셨어요, 조금씩 소분해서 얼려둘 수도 있고 야채를 잘 안먹는 아이라 골고루 먹이고 싶어서 주문했는데 잘 먹더라구요~",5,1
taij*****,2025-09-17T02:46:41.000+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,맛있어요~^^ 근데 아기에겐 좀 이른것 같아요ㅜ,5,1
yyy0***,2025-09-27T02:42:54.662+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,잘먹고있어요 좋네요 ㅎㅎㅎ,5,1
h2****,2025-09-07T10:46:21.789+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,아기가 국을 엄청 잘먹어요. 식판째로 들고 마시겠다고 하다가 다 쏟았지 뭐예요ㅎ 국그릇 따로 있는 식판도 사야될꺼 같아요,5,1
yyy0***,2025-09-11T01:07:07.834+00:00,발송일 선택 (당일조리): 9월 10일 수요일 발송,아이가 생각보다 잘먹네요 한달먹여보고 꾸준히 주문해야겠어요 ㅎ,5,1
rkds*******,2025-09-21T02:22:30.636+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,배송빠르고 잘받았습니다,5,14
haew*****,2025-10-14T06:48:15.711+00:00,발송일 선택 (당일조리): 9월 26일 금요일 발송,집에서 해먹는것보다 편리해요,5,1
qiqi****,2025-09-08T11:58:38.774+00:00,발송일 선택 (당일조리): 8월 27일 수요일 발송,여기꺼 먹더니 애기가 너무 잘먹더라고요!! 그래서 이제 여기서만 시키려고 합니당,5,1
ddor****,2025-10-15T05:08:11.624+00:00,발송일 선택 (당일조리): 10월 14일 화요일 발송,푸짐합니다. 감사해요,5,1
cybe****,2025-09-21T01:04:33.102+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,양 많고 아이가 좋아해요~,5,1
sacr*****,2025-09-21T11:20:03.750+00:00,발송일 선택 (당일조리): 8월 20일 수요일 발송,가격 대비 반찬 다양하고 좋습니다.,5,1
agpw*****,2025-09-13T04:17:54.283+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,오자마자 소분햐서 얼려뒀어요!! 잘 먹었으면 좋겠네여,5,1
myoj*****,2025-09-06T12:44:07.215+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,"맛있고 좋아요 제가먹어도 맛있네요.
단 여름이라 아이스팩 추가했는데
물아이스팩이 아니라 젤아이스팩이라..
이거 쓰리기처리도 골치
..ㅠㅠ 요즘 거의 다 물아이스팩인데....비닐만 버리는되는데. 이거 개선좀 해주세요. 아이스팩 5개라 쓰레기가 상당합니다.....",5,1
yu****,2025-09-25T09:00:36.458+00:00,발송일 선택 (당일조리): 9월 2일 화요일 발송,바쁜 일상에서 정말 유용하고 또 무엇보다 아이가 잘 먹어요. 어른이 먹어도 맛있습니다,5,1
no98******,2025-10-04T23:36:10.968+00:00,발송일 선택 (당일조리): 9월 19일 금요일 발송,좋아요좋아요좋아요좋아요,5,24
26****,2025-09-20T05:52:07.005+00:00,발송일 선택 (당일조리): 9월 19일 금요일 발송,차갑게 배송잘 왔어요~,5,1
nhy6***,2025-10-12T09:12:58.916+00:00,발송일 선택 (당일조리): 7월 22일 화요일 발송,바빠서 샀는데 좋더라구요~,5,1
guit*****,2025-09-03T08:54:19.847+00:00,발송일 선택 (당일조리): 9월 2일 화요일 발송,아기가 잘먹어요 ^^ 유아식 고민 완전해결이요 앞으로도 맛있는 음싯 많이 브탁드립니다,5,1
plut***,2025-09-23T02:04:05.184+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,아이가 잘 먹네요!!,5,1
qksw***,2025-09-26T06:09:06.298+00:00,발송일 선택 (당일조리): 8월 29일 금요일 발송,"국만 따로 구매할 수 있으면 좋겠어요~~~ㅠㅠ
다 맛있는데 ㅠㅠ 버리는양이 많아요...",4,1
tnsa*****,2025-09-19T01:52:23.261+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,아주 잘먹고 있습니다.~ 아주 좋습니다. 빠른배송도 감사합니다.,5,1
suas***,2025-09-02T09:26:30.908+00:00,발송일 선택 (당일조리): 8월 29일 금요일 발송,"재주문햇어요 잘먹어요^^
식단걱정없이
다양하게 먹을수있어서 좋아요!",5,1
zb****,2025-08-30T00:54:08.419+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,"처음주문해봤는데 아기가 너무잘먹어요!!!
정기배송으로 주문해야겠어요!!!",5,1
wlsd*****,2025-09-24T10:51:55.816+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,잘 도 착 햇 습 ㄴ,4,3
eggn*****,2025-09-14T10:15:31.551+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,6세 아이 편식없이 너무 잘먹어요~,5,1
soph*****,2025-10-05T12:23:45.981+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,아이가 잘 먹어서 좋네요,5,1
happ****,2025-08-21T00:18:17.431+00:00,발송일 선택 (당일조리): 8월 19일 화요일 발송,너무잘먹어요.첫째때도주문해서 먹였는데 둘째도유아식시작하고 반찬만들기 힘들어서주문했어요~포장도꼼꼼하게오고 반찬에대한설명쪽지도있어요.,5,1
firs********,2025-08-05T01:57:07.631+00:00,발송일 선택 (당일조리): 8월 1일 금요일 발송,20개월 아기가 잘 먹어요~ 최근에 밥을 잘 안먹어서 시판으로 주문해봤는데  입자감이나 질감이 잘 맞는것같고 무엇보다 전분같은 질퍽한느낌의 반찬이 하나도 없어서 넘 좋았어요! 양도 그릇 가득 들어있고 7가지종류가 다양하구요 국도 한가득 푸짐하게담아주셨네용~ 이제 워킹맘되면 정기구독할거같아여^^,5,1
wjdt******,2025-09-28T04:07:35.916+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,매번주문해서 먹고 있어요 ㅎㅎ아이가 먹다남기면 제가다먹어요ㅎㅎ,5,1
yyy0***,2025-09-07T10:25:33.369+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,아이가 잘먹네요 ㅎ 다음주도 시켜봐야겠어오,5,1
se****,2025-09-09T04:43:55.463+00:00,발송일 선택 (당일조리): 8월 29일 금요일 발송,아기도 잘 먹구 양도 여유있어서 좋은 거 같아요~~,5,1
ehdu******,2025-08-22T01:23:45.671+00:00,발송일 선택 (당일조리): 7월 18일 금요일 발송,양도 많고 날짜별로 반찬이 달라져서 너무 좋더라고요 애가 감자탕을 특히 잘 먹어서 싹싹 먹었어요 멸치에서 저런 가시 나왔네요ㅠㅠ 잘 못 봤으면 그대로 줄 뻔 했어요ㅠㅠ,4,1
wnro****,2025-09-29T00:44:48.351+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,항상 잘 시켜 먹이고 있어요 좋아요,5,1
wldl*****,2025-10-03T03:24:59.381+00:00,발송일 선택 (당일조리): 10월 1일 수요일 발송,항상 잘 먹고 있습니다.,4,2
ii23****,2025-09-07T10:14:51.170+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,"국은 잘 먹는데 반찬은 잘 안먹너요ㅠㅠ
그래도 잘 먹여볼게요!",5,1
qsin****,2025-09-16T14:34:30.097+00:00,발송일 선택 (당일조리): 8월 22일 금요일 발송,"국은 좀 짭짤해서 그런지 잘 먹는데,새로운 반찬에 간이 좀 싱거운지 반찬은 전혀 먹질 않아요..ㅠ.ㅠ
저는 다 맛있던데..ㅠ.ㅠ",5,1
hw****,2025-09-26T23:17:42.347+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,아이가 늘 잘먹고 있어요 건강하게 잘 만들어주세요~,5,1
silr******,2025-09-09T07:28:40.130+00:00,발송일 선택 (당일조리): 8월 27일 수요일 발송,음식 깔끔하게 오고 맛있어요,5,1
ajw0****,2025-09-02T10:42:37.230+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,오랜만에 주문했는데 역시 딱 좋아요 담주도 주문~!!,5,1
with*********,2025-09-06T00:45:21.869+00:00,발송일 선택 (당일조리): 9월 2일 화요일 발송,아기가 너무 잘먹어여 조만간 재주문각입니다!,5,1
wnls*****,2025-09-09T02:04:14.277+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,구성을 바꿀수있어 좋아요,4,1
lsg2***,2025-08-18T06:42:41.679+00:00,발송일 선택 (당일조리): 8월 8일 금요일 발송,유아식 시작한 15개월 아기한테 이것저것 먹여보고 있어요 ㅎㅎ 재재재구매인데 토마토베이스 빼고는 다 잘 먹네요 ^^ 아기 밥 준비할 때 냄새가 너무 맛있어서 가끔 제가 먹고 싶기도 해요..,5,1
kjhh******,2025-08-26T00:07:31.697+00:00,발송일 선택 (당일조리): 8월 22일 금요일 발송,아이가 좋아하네요 근데 한주 같은 음식인거 모르고 두개시킹 .....써있었는데 대충봤더니ㅠㅠ,5,1
ke****,2025-08-31T05:17:58.226+00:00,발송일 선택 (당일조리): 8월 22일 금요일 발송,아이가잘먹어요 이번에는특히 맛있는 반찬이네요,5,1
rldn********,2025-10-02T05:10:40.188+00:00,발송일 선택 (당일조리): 9월 26일 금요일 발송,아이가 잘먹지는 않네요~,4,1
arti******,2025-09-28T05:10:05.442+00:00,발송일 선택 (당일조리): 9월 2일 화요일 발송,아기가 안 좋아하는 반찬만 와서 &hellip; 결국 저희가 먹거나 버렸어요 ㅜ ㅜ,3,1
dohe****,2025-09-08T05:21:12.895+00:00,발송일 선택 (당일조리): 8월 19일 화요일 발송,아이가 잘 먹긴하는데 잘 안먹는것도 있어요,5,1
rovi*******,2025-09-02T03:13:04.271+00:00,발송일 선택 (당일조리): 8월 29일 금요일 발송,항상 빠른 배송과 맛있는 음식에 만족해요,5,1
ahn9*****,2025-08-21T03:15:26.583+00:00,발송일 선택 (당일조리): 8월 19일 화요일 발송,"공유해주신 다른엄마테도 감사할정도로
넘넘 잘먹어요! 이정도 크기에 야채를 먹을까 싶었는데.. 그동안 입맛에 안맞는걸 줬었나봐요
넘넘 잘먹어요!",5,1
jtll******,2025-08-22T13:13:37.895+00:00,발송일 선택 (당일조리): 8월 20일 수요일 발송,어떤 메뉴가 올지 몰라서 궁금했는데 덮밥이랑 파스타 치킨텐더 반찬류 국 이렇게 오네요.ㅎ 간이 저염으로 되있는거 같아요 ㅎ첫시도입니다 ㅎ,5,1
bomi******,2025-09-11T00:23:58.825+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,아이가 잘 먹는 반찬은 잘 먹는데 새로운 반찬들은 거부하네요.. 반찬을 선택할 수 있었음 좋겠는 바램이지만 다양한 반찬을 맛보는것도 좋긴 하네요..,4,1
huvl*****,2025-09-30T01:59:01.479+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,맛잇게 먹엇러요 양오 많아오,5,1
mini******,2025-09-08T14:01:37.107+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,두번째 구매인데 아이가 잘 먹어요!,5,1
chun*****,2025-08-28T10:32:22.052+00:00,발송일 선택 (당일조리): 8월 19일 화요일 발송,"아이가 그냥 저냥 잘 먹네요ㅎㅎ
 나쁘지 않은? ㅎㅎ 만족하는 편 입니다.",5,1
yu****,2025-09-13T01:45:06.966+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,맞벌이부부라 아기 저녁이나주말에 잘못챙겨줫는데 30개월 아기가  잘먹네요 자주이용할꺼같아요,5,1
skyd*****,2025-08-23T01:41:12.852+00:00,발송일 선택 (당일조리): 8월 22일 금요일 발송,"아직 안먹여봤지만 기대됩니다! 
포장도 깔끔하니 좋아요~",4,1
wldb*****,2025-08-05T01:34:39.711+00:00,발송일 선택 (당일조리): 8월 1일 금요일 발송,"이앓이 시기 19개월 아가 찻 
구매 만족 해요 국을 특히 잘 먹었어요 ~! 
시원 한가봐요~  배송 걱정 했는데.. 
잘 왔어요 
반찬 호불호가 있어요 ㅠㅠ ㅎㅎ 
반찬 따로 
국따로 묶음으로 배송 오면 좋을거 같아요
국을 좋아하는 아이라서요!",4,1
cool********,2025-09-04T04:53:20.301+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,종류도 다양하고 서비스까지 감사합니다!,5,1
xuyo***,2025-08-29T13:33:05.106+00:00,발송일 선택 (당일조리): 8월 20일 수요일 발송,아이가 늘 잘 먹어서 주문하네요~^^직장맘인데 일주일이 편하네요~,5,1
caro****,2025-09-06T14:17:13.084+00:00,발송일 선택 (당일조리): 8월 29일 금요일 발송,아이가 맛있게 잘 먹어요,5,2
moon*******,2025-09-13T05:33:16.446+00:00,발송일 선택 (당일조리): 9월 12일 금요일 발송,우체국 배송이라 배송이 빨라서 좋은 것 같아요^^ 반찬은 늘 만족입니다 ㅎㅎ,5,1
tjdg********,2025-09-09T11:48:10.741+00:00,발송일 선택 (당일조리): 8월 27일 수요일 발송,맛있어서 아이가 잘 먹어요~~ 아이가 먹기인 유통기한에 비해 양이 많아서 양을 좀 줄이고 가격을 조금 내렸으면 하는 바램도 있습니다,5,1
asa7***,2025-09-07T02:39:27.029+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,"저희 아이는 5세인데 간이 약간 싱겁더라고요ㅎ
건강식이긴 한데 아이가 좋아할지는 의문이네여 그래도 깨끗하고 정성스럽게 주셔서 마음놓고 먹일수 있겠어요",5,1
wnls*****,2025-09-09T02:11:42.390+00:00,발송일 선택 (당일조리): 7월 25일 금요일 발송,좋아요 간편해서 ㅎㅎ,4,1
dama****,2025-08-26T12:57:25.565+00:00,발송일 선택 (당일조리): 8월 22일 금요일 발송,"맛도좋고 애기가잘먹어요
또구매할게요",5,1
h921***,2025-09-09T02:48:48.504+00:00,발송일 선택 (당일조리): 9월 5일 금요일 발송,이 가격에 이 구성..재구매했습니다 ㅋ,5,1
he****,2025-09-27T09:18:50.888+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,항상 잘 이용합ㅋ니드,5,1
fl****,2025-09-23T00:20:34.231+00:00,발송일 선택 (당일조리): 9월 19일 금요일 발송,애들이 잘 먹고 좋아해요~,5,1
alwl*****,2025-09-28T13:27:56.190+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,잘먹는 반찬도 있고 잘안먹는 반찬도 있어요,4,1
wjdt******,2025-09-15T03:23:25.678+00:00,발송일 선택 (당일조리): 9월 9일 화요일 발송,아기가 잘먹어서 너무 좋아요 국도 맛있나봐요 ㅎㅎ말아주면 잘먹어요,5,1
co****,2025-09-20T03:58:06.012+00:00,발송일 선택 (당일조리): 9월 19일 금요일 발송,"처음주문했는데 반찬이 다 맛있고
애기가 다잘먹어요(31개월)",5,1
avri*****,2025-09-30T16:09:43.313+00:00,발송일 선택 (당일조리): 9월 16일 화요일 발송,잘먹는편이에요ㅎㅎㅎ,5,1
moon****,2025-09-01T08:52:40.873+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,아기가 잘 먹어서 재 주문할꺼예요,5,1
leeg********,2025-09-25T00:06:46.984+00:00,발송일 선택 (당일조리): 9월 23일 화요일 발송,아이 반찬으로 구매하게 됐어요,5,1
glvl*****,2025-09-21T13:08:40.997+00:00,발송일 선택 (당일조리): 9월 19일 금요일 발송,메뉴 구성 다양하고 양도 너무좋아요🥰,5,1
dian*****,2025-08-01T08:40:59.931+00:00,발송일 선택 (당일조리): 7월 30일 수요일 발송,30개월이고 다양한반찬을 접하지 못하는거같아서 시켯어요 잡채잘먹네요 식감에 예민해서 야채들을 골라내느라 바쁘지만 간도 적당하고 제가해주지 못하는 부분이라 만족합니다,5,1
hali*****,2025-08-16T07:27:21.974+00:00,발송일 선택 (당일조리): 8월 6일 수요일 발송,"아이스팩 거의 안녹앗어요. 아이도 잘먹어요!
일부는 소분해서 얼렷네요
사진은 전복삼계죽인데 게눈감추듯 사라졋어요",5,1
9sea***,2025-08-27T14:09:38.234+00:00,발송일 선택 (당일조리): 8월 26일 화요일 발송,맛도 다양하고 푸짐해서 좋았습니다~ 첨시켜봤는데 만족해요,5,1
zoot****,2025-09-04T09:22:57.813+00:00,발송일 선택 (당일조리): 9월 3일 수요일 발송,"가끔 주문하는데 구성이 너무 좋습니다!
아이들도 잘 먹고! 앞으로도 자주 주문하겠습니다!",5,1
